,Type,SampleID,SiteID,Date,Code,Taxon,Abundance,Alkalinity
27,L,1536241,200313,29/04/2010,SY013A,Synedra tenera,16,7
28,L,1536241,200313,29/04/2010,FR007A,Fragilaria vaucheriae,23,7
29,L,1536241,200313,29/04/2010,EY017A,Encyonema gracile,4,7
30,L,1554416,301827,19/05/2010,GO013C,Gomphonema parvulum var. exilissimum,3,68
31,L,1554416,301827,19/05/2010,FR002A,Fragilaria construens,35,68
32,L,1554416,301827,19/05/2010,EP001A,Epithemia sorex,1,68
33,L,1554416,301827,19/05/2010,CM006A,Cymbella cistula,1,68
34,L,1554416,301827,19/05/2010,NA007A,Navicula cryptocephala,10,68
35,L,1554416,301827,19/05/2010,ZZZ835,Achnanthidium minutissimum type,23,68
36,L,1554416,301827,19/05/2010,GO052A,Gomphonema olivaceoides,4,68
37,L,1554416,301827,19/05/2010,YH001A,Ctenophora pulchella,4,68
38,L,1554416,301827,19/05/2010,DT004A,Diatoma tenue,73,68
39,L,1554416,301827,19/05/2010,DT022A,Diatoma moniliformis,131,68
40,L,1554416,301827,19/05/2010,EY016A,Encyonema silesiacum,10,68
41,L,1554416,301827,19/05/2010,SU005A,Surirella linearis,1,68
42,L,1554416,301827,19/05/2010,SY001A,Synedra ulna,1,68
43,L,1554416,301827,19/05/2010,CM004A,Cymbella microcephala,1,68
44,L,1554416,301827,19/05/2010,CO001A,Cocconeis placentula,3,68
45,L,1554416,301827,19/05/2010,FR009A,Fragilaria capucina,2,68
46,L,1554416,301827,19/05/2010,UN9995,Centric undif.,4,68
47,L,1554416,301827,19/05/2010,NA042A,Navicula minima,1,68
48,L,1554416,301827,19/05/2010,FR002E,Fragilaria construens var. subsalina,11,68
49,L,1554416,301827,19/05/2010,FR001A,Fragilaria pinnata,20,68
50,L,1555585,202906,18/05/2010,NI009A,Nitzschia palea,2,1
51,L,1555585,202906,18/05/2010,UN9999,Unknown diatom,1,1
52,L,1555585,202906,18/05/2010,EU107A,Eunotia implicata,5,1
53,L,1555585,202906,18/05/2010,DE001A,Denticula tenuis,1,1
54,L,1555585,202906,18/05/2010,EU114A,Eunotia muscicola,3,1
55,L,1555585,202906,18/05/2010,PI9999,Pinnularia sp.,2,1
56,L,1555585,202906,18/05/2010,TA001A,Tabellaria flocculosa,7,1
57,L,1555585,202906,18/05/2010,CM004A,Cymbella microcephala,4,1
58,L,1555585,202906,18/05/2010,CM015A,Cymbella cesatii,1,1
59,L,1555585,202906,18/05/2010,ZZZ835,Achnanthidium minutissimum type,200,1
60,L,1555585,202906,18/05/2010,EY017A,Encyonema gracile,2,1
61,L,1555585,202906,18/05/2010,GO004A,Gomphonema gracile,1,1
62,L,1555585,202906,18/05/2010,FU002A,Frustulia rhomboides,2,1
63,L,1555585,202906,18/05/2010,GO013C,Gomphonema parvulum var. exilissimum,4,1
64,L,1555585,202906,18/05/2010,PE002A,Peronia fibula,7,1
65,L,1555585,202906,18/05/2010,EU070A,Eunotia bilunaris,7,1
66,L,1555585,202906,18/05/2010,AC151A,Achnanthes abundans,4,1
67,L,1555585,202906,18/05/2010,BR010A,Brachysira neoexilis,33,1
68,L,1555585,202906,18/05/2010,BR011A,Brachysira procera,5,1
69,L,1555585,202906,18/05/2010,GO073A,Gomphonema angustum,1,1
70,L,1555585,202906,18/05/2010,SY013A,Synedra tenera,17,1
71,L,1555585,202906,18/05/2010,ZZZ835,Achnanthidium minutissimum type,30,1
72,L,1555623,233796,23/04/2010,AC136A,Achnanthes subatomoides,2,2
73,L,1555623,233796,23/04/2010,FR026A,Fragilaria bidens,4,2
74,L,1555623,233796,23/04/2010,ZZZ941,Diatoma problematica,2,2
75,L,1555623,233796,23/04/2010,GO001A,Gomphonema olivaceum,3,2
76,L,1555623,233796,23/04/2010,FR007A,Fragilaria vaucheriae,1,2
77,L,1555623,233796,23/04/2010,EY016A,Encyonema silesiacum,7,2
78,L,1555623,233796,23/04/2010,ZZZ987,Naviculoid (small undiff),1,2
79,L,1555623,233796,23/04/2010,GO9999,Gomphonema sp.,1,2
80,L,1555623,233796,23/04/2010,GO080A,Gomphonema pumilum,2,2
81,L,1555623,233796,23/04/2010,EY002A,Encyonema caespitosum,1,2
82,L,1555623,233796,23/04/2010,AC9999,Achnanthes sp.,1,2
83,L,1555623,233796,23/04/2010,TA001A,Tabellaria flocculosa,3,2
84,L,1555623,233796,23/04/2010,SY001A,Synedra ulna,11,2
85,L,1555623,233796,23/04/2010,GO006C,Gomphonema acuminatum var. coronatum,7,2
86,L,1555623,233796,23/04/2010,GO004A,Gomphonema gracile,3,2
87,L,1555623,233796,23/04/2010,HN001A,Hannaea arcus,1,2
88,L,1555623,233796,23/04/2010,FR060A,Fragilaria tenera,6,2
89,L,1555623,233796,23/04/2010,NA009A,Navicula lanceolata,1,2
90,L,1555623,233796,23/04/2010,BR9999,Brachysira sp.,1,2
91,L,1555623,233796,23/04/2010,EU9999,Eunotia sp.,1,2
92,L,1555623,233796,23/04/2010,CM9999,Cymbella sp.,1,2
93,L,1555623,233796,23/04/2010,EY011A,Encyonema minutum,7,2
94,L,1555623,233796,23/04/2010,DT004A,Diatoma tenue,30,2
95,L,1555623,233796,23/04/2010,ZZZ835,Achnanthidium minutissimum type,244,2
96,L,1555623,233796,23/04/2010,MR001A,Meridion circulare,1,2
97,L,1555624,302233,20/05/2010,SY013A,Synedra tenera,15,8
98,L,1555624,302233,20/05/2010,TA001A,Tabellaria flocculosa,12,8
99,L,1555624,302233,20/05/2010,AC035A,Achnanthes pusilla,4,8
100,L,1555624,302233,20/05/2010,DE001A,Denticula tenuis,5,8
101,L,1555624,302233,20/05/2010,AC163A,Achnanthes helvetica,1,8
102,L,1555624,302233,20/05/2010,GO050A,Gomphonema minutum,2,8
103,L,1555624,302233,20/05/2010,CM004A,Cymbella microcephala,21,8
104,L,1555624,302233,20/05/2010,BR010A,Brachysira neoexilis,15,8
105,L,1555624,302233,20/05/2010,AC143A,Achnanthes oblongella,1,8
106,L,1555624,302233,20/05/2010,CM015A,Cymbella cesatii,6,8
107,L,1555624,302233,20/05/2010,FR007A,Fragilaria vaucheriae,15,8
108,L,1555624,302233,20/05/2010,CM022A,Cymbella affinis,1,8
109,L,1555624,302233,20/05/2010,ZZZ835,Achnanthidium minutissimum type,190,8
110,L,1555624,302233,20/05/2010,EU009A,Eunotia exigua,5,8
111,L,1555624,302233,20/05/2010,AC151A,Achnanthes abundans,4,8
112,L,1555624,302233,20/05/2010,BR011A,Brachysira procera,7,8
113,L,1555624,302233,20/05/2010,GO080A,Gomphonema pumilum,1,8
114,L,1555624,302233,20/05/2010,NI031A,Nitzschia linearis,1,8
115,L,1555624,302233,20/05/2010,FR009A,Fragilaria capucina,1,8
116,L,1555624,302233,20/05/2010,FR064A,Fragilaria exigua,1,8
117,L,1555624,302233,20/05/2010,DT004A,Diatoma tenue,8,8
118,L,1555624,302233,20/05/2010,AC083A,Achnanthes laevis,1,8
119,L,1559708,303610,18/05/2010,ZZZ987,Naviculoid (small undiff),3,5
120,L,1559708,303610,18/05/2010,NA751A,Navicula cryptotenella,5,5
121,L,1559708,303610,18/05/2010,ZZZ835,Achnanthidium minutissimum type,10,5
122,L,1559708,303610,18/05/2010,EY017A,Encyonema gracile,5,5
123,L,1559708,303610,18/05/2010,TA001A,Tabellaria flocculosa,21,5
124,L,1559708,303610,18/05/2010,NA037A,Navicula angusta,7,5
125,L,1559708,303610,18/05/2010,GO074A,Gomphonema hebridense,2,5
126,L,1559708,303610,18/05/2010,EU013A,Eunotia arcus,8,5
127,L,1559708,303610,18/05/2010,BR006A,Brachysira brebissonii,55,5
128,L,1559708,303610,18/05/2010,BR011A,Brachysira procera,5,5
129,L,1559708,303610,18/05/2010,EU047A,Eunotia incisa,11,5
130,L,1559708,303610,18/05/2010,AC9999,Achnanthes sp.,3,5
131,L,1559708,303610,18/05/2010,EU010A,Eunotia faba,7,5
132,L,1559708,303610,18/05/2010,FR007A,Fragilaria vaucheriae,3,5
133,L,1559708,303610,18/05/2010,AC022A,Achnanthes marginulata,3,5
134,L,1559708,303610,18/05/2010,NI005A,Nitzschia perminuta,1,5
135,L,1559708,303610,18/05/2010,CM010A,Cymbella perpusilla,2,5
136,L,1559708,303610,18/05/2010,EU070A,Eunotia bilunaris,11,5
137,L,1559708,303610,18/05/2010,FU002A,Frustulia rhomboides,35,5
138,L,1559708,303610,18/05/2010,BR003A,Brachysira serians,1,5
139,L,1559708,303610,18/05/2010,AC046A,Achnanthes altaica,10,5
140,L,1559708,303610,18/05/2010,GO006A,Gomphonema acuminatum,1,5
141,L,1559708,303610,18/05/2010,FR064A,Fragilaria exigua,13,5
142,L,1559708,303610,18/05/2010,EU009A,Eunotia exigua,10,5
143,L,1559708,303610,18/05/2010,BR010A,Brachysira neoexilis,27,5
144,L,1559708,303610,18/05/2010,FU002B,Frustulia rhomboides var. saxonica,3,5
145,L,1559708,303610,18/05/2010,EU112A,Eunotia arculus,1,5
146,L,1559708,303610,18/05/2010,PE002A,Peronia fibula,45,5
147,L,1559723,202063,26/04/2010,AC151A,Achnanthes abundans,1,3
148,L,1559723,202063,26/04/2010,SY013A,Synedra tenera,3,3
149,L,1559723,202063,26/04/2010,PI011A,Pinnularia microstauron,76,3
150,L,1559723,202063,26/04/2010,PI9999,Pinnularia sp.,1,3
151,L,1559723,202063,26/04/2010,EU070A,Eunotia bilunaris,6,3
152,L,1559723,202063,26/04/2010,GO004A,Gomphonema gracile,3,3
153,L,1559723,202063,26/04/2010,PI022A,Pinnularia subcapitata,7,3
154,L,1559723,202063,26/04/2010,EU009A,Eunotia exigua,5,3
155,L,1559723,202063,26/04/2010,PI007A,Pinnularia viridis,2,3
156,L,1559723,202063,26/04/2010,AC161A,Achnanthes ventralis,1,3
157,L,1559723,202063,26/04/2010,GO013A,Gomphonema parvulum,4,3
158,L,1559723,202063,26/04/2010,ZZZ835,Achnanthidium minutissimum type,117,3
159,L,1559723,202063,26/04/2010,GO013C,Gomphonema parvulum var. exilissimum,1,3
160,L,1559723,202063,26/04/2010,EU9999,Eunotia sp.,4,3
161,L,1559723,202063,26/04/2010,PI014A,Pinnularia appendiculata,4,3
162,L,1559723,202063,26/04/2010,EU004A,Eunotia tenella,4,3
163,L,1559723,202063,26/04/2010,EU114A,Eunotia muscicola,5,3
164,L,1559723,202063,26/04/2010,GO023A,Gomphonema truncatum,1,3
165,L,1559723,202063,26/04/2010,FR009A,Fragilaria capucina,7,3
166,L,1559723,202063,26/04/2010,EU002A,Eunotia pectinalis,2,3
167,L,1559723,202063,26/04/2010,MR001A,Meridion circulare,2,3
168,L,1559723,202063,26/04/2010,TA001A,Tabellaria flocculosa,20,3
169,L,1559723,202063,26/04/2010,BR010A,Brachysira neoexilis,5,3
170,L,1559723,202063,26/04/2010,EU010A,Eunotia faba,1,3
171,L,1559723,202063,26/04/2010,EY017A,Encyonema gracile,3,3
172,L,1559723,202063,26/04/2010,FR007A,Fragilaria vaucheriae,10,3
173,L,1559723,202063,26/04/2010,FU002A,Frustulia rhomboides,1,3
174,L,1559723,202063,26/04/2010,GO029A,Gomphonema clavatum,3,3
175,L,1559723,202063,26/04/2010,EU008A,Eunotia monodon fo. monodon,1,3
176,L,1559723,202063,26/04/2010,ZZZ987,Naviculoid (small undiff),1,3
177,L,1559723,202063,26/04/2010,PE002A,Peronia fibula,10,3
178,L,1559723,202063,26/04/2010,FR009A,Fragilaria capucina,6,3
179,L,1559723,202063,26/04/2010,NE9999,Neidium sp.,2,3
180,L,1559723,202063,26/04/2010,ZZZ949,Psammothidium subatomoides,1,3
181,L,1559723,202063,26/04/2010,NE9999,Neidium sp.,1,3
182,L,1560259,204046,11/05/2010,NI031A,Nitzschia linearis,5,81
183,L,1560259,204046,11/05/2010,DT022A,Diatoma moniliformis,6,81
184,L,1560259,204046,11/05/2010,NA009A,Navicula lanceolata,2,81
185,L,1560259,204046,11/05/2010,ZZZ987,Naviculoid (small undiff),2,81
186,L,1560259,204046,11/05/2010,CM004A,Cymbella microcephala,6,81
187,L,1560259,204046,11/05/2010,AS001A,Asterionella formosa,6,81
188,L,1560259,204046,11/05/2010,CM041A,Cymbella lanceolata,2,81
189,L,1560259,204046,11/05/2010,FR007A,Fragilaria vaucheriae,4,81
190,L,1560259,204046,11/05/2010,CM070A,Cymbella caespitosa,1,81
191,L,1560259,204046,11/05/2010,ZZZ835,Achnanthidium minutissimum type,21,81
192,L,1560259,204046,11/05/2010,AU9999,Aulacoseira sp.,10,81
193,L,1560259,204046,11/05/2010,DT004A,Diatoma tenue,80,81
194,L,1560259,204046,11/05/2010,FR007A,Fragilaria vaucheriae,2,81
195,L,1560259,204046,11/05/2010,GO001A,Gomphonema olivaceum,19,81
196,L,1560259,204046,11/05/2010,NA9999,Navicula sp.,1,81
197,L,1560259,204046,11/05/2010,NI024A,Nitzschia sublinearis,5,81
198,L,1560259,204046,11/05/2010,NI015A,Nitzschia dissipata,35,81
199,L,1560259,204046,11/05/2010,NA095A,Navicula tripunctata,7,81
200,L,1560259,204046,11/05/2010,GO080A,Gomphonema pumilum,2,81
201,L,1560259,204046,11/05/2010,NA134A,Navicula subminuscula,1,81
202,L,1560259,204046,11/05/2010,SY009A,Synedra nana,8,81
203,L,1560259,204046,11/05/2010,DT003A,Diatoma vulgare,21,81
204,L,1560259,204046,11/05/2010,FR009A,Fragilaria capucina,40,81
205,L,1560259,204046,11/05/2010,EY016A,Encyonema silesiacum,3,81
206,L,1560259,204046,11/05/2010,EY011A,Encyonema minutum,17,81
207,L,1560259,204046,11/05/2010,FR009A,Fragilaria capucina,1,81
208,L,1560259,204046,11/05/2010,SY001A,Synedra ulna,7,81
209,L,1560259,204046,11/05/2010,NA023A,Navicula gregaria,3,81
210,L,1560272,459082,12/05/2010,EY011A,Encyonema minutum,16,131
211,L,1560272,459082,12/05/2010,NI015A,Nitzschia dissipata,2,131
212,L,1560272,459082,12/05/2010,SS002A,Staurosirella pinnata,5,131
213,L,1560272,459082,12/05/2010,SR001A,Staurosira construens,7,131
214,L,1560272,459082,12/05/2010,CO001A,Cocconeis placentula,2,131
215,L,1560272,459082,12/05/2010,ZZZ835,Achnanthidium minutissimum type,160,131
216,L,1560272,459082,12/05/2010,DT022A,Diatoma moniliformis,1,131
217,L,1560272,459082,12/05/2010,FR009B,Fragilaria capucina var. mesolepta,3,131
218,L,1560272,459082,12/05/2010,AC9999,Achnanthes sp.,1,131
219,L,1560272,459082,12/05/2010,NI033A,Nitzschia paleacea,10,131
220,L,1560272,459082,12/05/2010,FR007A,Fragilaria vaucheriae,1,131
221,L,1560272,459082,12/05/2010,FR007A,Fragilaria vaucheriae,2,131
222,L,1560272,459082,12/05/2010,NA095A,Navicula tripunctata,1,131
223,L,1560272,459082,12/05/2010,AM004A,Amphora veneta,8,131
224,L,1560272,459082,12/05/2010,AM012A,Amphora pediculus,2,131
225,L,1560272,459082,12/05/2010,NA023A,Navicula gregaria,1,131
226,L,1560272,459082,12/05/2010,RC002A,Rhoicosphenia abbreviata,1,131
227,L,1560272,459082,12/05/2010,NA042A,Navicula minima,5,131
228,L,1560272,459082,12/05/2010,SR002A,Staurosira elliptica,6,131
229,L,1560272,459082,12/05/2010,SY001A,Synedra ulna,1,131
230,L,1560272,459082,12/05/2010,NA768A,Navicula reichardtiana,3,131
231,L,1560272,459082,12/05/2010,CM004A,Cymbella microcephala,42,131
232,L,1560272,459082,12/05/2010,ZZZ842,Fragilaria perminuta,5,131
233,L,1560272,459082,12/05/2010,NA751A,Navicula cryptotenella,4,131
234,L,1560272,459082,12/05/2010,EY002A,Encyonema caespitosum,1,131
235,L,1560272,459082,12/05/2010,FR009H,Fragilaria capucina var. gracilis,7,131
236,L,1560272,459082,12/05/2010,GO001A,Gomphonema olivaceum,2,131
237,L,1560272,459082,12/05/2010,FR082A,Fragilaria incognita,3,131
238,L,1560272,459082,12/05/2010,GO013C,Gomphonema parvulum var. exilissimum,1,131
239,L,1560272,459082,12/05/2010,DE001A,Denticula tenuis,2,131
240,L,1560272,459082,12/05/2010,DT004A,Diatoma tenue,26,131
241,L,1560272,459082,12/05/2010,RC002A,Rhoicosphenia abbreviata,1,131
242,L,1560272,459082,12/05/2010,NI009A,Nitzschia palea,1,131
243,L,1560272,459082,12/05/2010,GO9999,Gomphonema sp.,2,131
244,L,1564109,113117,26/04/2010,CY9999,Cyclotella sp.,2,1
245,L,1564109,113117,26/04/2010,EU9999,Eunotia sp.,6,1
246,L,1564109,113117,26/04/2010,SA9999,Stauroneis sp.,3,1
247,L,1564109,113117,26/04/2010,BR001A,Brachysira vitrea,16,1
248,L,1564109,113117,26/04/2010,PI9999,Pinnularia sp.,16,1
249,L,1564109,113117,26/04/2010,EU002A,Eunotia pectinalis,1,1
250,L,1564109,113117,26/04/2010,BR9999,Brachysira sp.,2,1
251,L,1564109,113117,26/04/2010,AS001A,Asterionella formosa,1,1
252,L,1564109,113117,26/04/2010,BR006A,Brachysira brebissonii,9,1
253,L,1564109,113117,26/04/2010,GO9999,Gomphonema sp.,1,1
254,L,1564109,113117,26/04/2010,ZZZ835,Achnanthidium minutissimum type,7,1
255,L,1564109,113117,26/04/2010,EU020A,Eunotia meisteri,3,1
256,L,1564109,113117,26/04/2010,FU002D,Frustulia rhomboides var. amphipleuroides,22,1
257,L,1564109,113117,26/04/2010,EU070A,Eunotia bilunaris,11,1
258,L,1564109,113117,26/04/2010,EU009A,Eunotia exigua,35,1
259,L,1564109,113117,26/04/2010,EU110A,Eunotia minor,218,1
260,L,1564109,113117,26/04/2010,PI022A,Pinnularia subcapitata,5,1
261,L,1564109,113117,26/04/2010,ZZZ987,Naviculoid (small undiff),2,1
262,L,1564109,113117,26/04/2010,AC163A,Achnanthes helvetica,16,1
263,L,1564109,113117,26/04/2010,TA001A,Tabellaria flocculosa,17,1
264,L,1564109,113117,26/04/2010,NA751A,Navicula cryptotenella,1,1
265,L,1564109,113117,26/04/2010,PE002A,Peronia fibula,10,1
266,L,1564109,113117,26/04/2010,SS002A,Staurosirella pinnata,1,1
267,L,1564109,113117,26/04/2010,RC002A,Rhoicosphenia abbreviata,1,1
268,L,1564109,113117,26/04/2010,AC143A,Achnanthes oblongella,3,1
269,L,1564109,113117,26/04/2010,UN9999,Unknown diatom,4,1
270,L,1564110,300453,23/04/2010,EU070A,Eunotia bilunaris,30,1
271,L,1564110,300453,23/04/2010,EU009A,Eunotia exigua,5,1
272,L,1564110,300453,23/04/2010,FU002D,Frustulia rhomboides var. amphipleuroides,17,1
273,L,1564110,300453,23/04/2010,EU018A,Eunotia formica,5,1
274,L,1564110,300453,23/04/2010,NA134A,Navicula subminuscula,1,1
275,L,1564110,300453,23/04/2010,AC9999,Achnanthes sp.,26,1
276,L,1564110,300453,23/04/2010,ZZZ835,Achnanthidium minutissimum type,21,1
277,L,1564110,300453,23/04/2010,EU002A,Eunotia pectinalis,6,1
278,L,1564110,300453,23/04/2010,NE9999,Neidium sp.,1,1
279,L,1564110,300453,23/04/2010,NI9999,Nitzschia sp.,3,1
280,L,1564110,300453,23/04/2010,NI008A,Nitzschia frustulum,2,1
281,L,1564110,300453,23/04/2010,GO004A,Gomphonema gracile,1,1
282,L,1564110,300453,23/04/2010,EU9999,Eunotia sp.,39,1
283,L,1564110,300453,23/04/2010,NA773A,Navicula radiosafallax,3,1
284,L,1564110,300453,23/04/2010,BR001A,Brachysira vitrea,39,1
285,L,1564110,300453,23/04/2010,NA037A,Navicula angusta,4,1
286,L,1564110,300453,23/04/2010,EU110A,Eunotia minor,20,1
287,L,1564110,300453,23/04/2010,CA9999,Caloneis sp.,2,1
288,L,1564110,300453,23/04/2010,SL002A,Sellaphora seminulum,13,1
289,L,1564110,300453,23/04/2010,PI022A,Pinnularia subcapitata,3,1
290,L,1564110,300453,23/04/2010,ZZZ855,Psammothidium levanderi,41,1
291,L,1564110,300453,23/04/2010,CM014A,Cymbella aequalis,3,1
292,L,1564110,300453,23/04/2010,TA001A,Tabellaria flocculosa,27,1
293,L,1564110,300453,23/04/2010,SA001A,Stauroneis anceps,2,1
294,L,1564110,300453,23/04/2010,FR008A,Fragilaria crotonensis,1,1
295,L,1564110,300453,23/04/2010,BR9999,Brachysira sp.,10,1
296,L,1564110,300453,23/04/2010,UN9999,Unknown diatom,4,1
297,L,1564110,300453,23/04/2010,EY017A,Encyonema gracile,14,1
298,L,1564643,4978,29/04/2010,AC049A,Achnanthes ploenensis,1,79
299,L,1564643,4978,29/04/2010,EY011A,Encyonema minutum,4,79
300,L,1564643,4978,29/04/2010,ZZZ959,Achnanthidium minutissimum,190,79
301,L,1564643,4978,29/04/2010,EY015A,Encyonema reichardtii,3,79
302,L,1564643,4978,29/04/2010,EY016A,Encyonema silesiacum,1,79
303,L,1564643,4978,29/04/2010,NI015A,Nitzschia dissipata,10,79
304,L,1564643,4978,29/04/2010,CM004A,Cymbella microcephala,3,79
305,L,1564643,4978,29/04/2010,SY003A,Synedra acus,1,79
306,L,1564643,4978,29/04/2010,NI002A,Nitzschia fonticola,1,79
307,L,1564643,4978,29/04/2010,FR009A,Fragilaria capucina,6,79
308,L,1564643,4978,29/04/2010,NI198A,Nitzschia lacuum,1,79
309,L,1564643,4978,29/04/2010,AM012A,Amphora pediculus,15,79
310,L,1564643,4978,29/04/2010,FR009H,Fragilaria capucina var. gracilis,1,79
311,L,1564643,4978,29/04/2010,FR009H,Fragilaria capucina var. gracilis,2,79
312,L,1564643,4978,29/04/2010,AS001A,Asterionella formosa,2,79
313,L,1564643,4978,29/04/2010,GO001A,Gomphonema olivaceum,21,79
314,L,1564643,4978,29/04/2010,AU020A,Aulacoseira subarctica,3,79
315,L,1564643,4978,29/04/2010,FR007A,Fragilaria vaucheriae,1,79
316,L,1564643,4978,29/04/2010,EY002A,Encyonema caespitosum,1,79
317,L,1564643,4978,29/04/2010,CO001C,Cocconeis placentula var. lineata,1,79
318,L,1564643,4978,29/04/2010,GO013C,Gomphonema parvulum var. exilissimum,16,79
319,L,1564643,4978,29/04/2010,SY003C,Synedra acus var. angustissima,2,79
320,L,1564643,4978,29/04/2010,GO013A,Gomphonema parvulum,1,79
321,L,1564643,4978,29/04/2010,CM022A,Cymbella affinis,1,79
322,L,1564643,4978,29/04/2010,DT004A,Diatoma tenue,2,79
323,L,1564643,4978,29/04/2010,NA751A,Navicula cryptotenella,3,79
324,L,1564643,4978,29/04/2010,ZZZ982,Navicula claytonii,1,79
325,L,1564643,4978,29/04/2010,NI033A,Nitzschia paleacea,1,79
326,L,1564643,4978,29/04/2010,DT022A,Diatoma moniliformis,12,79
327,L,1564643,4978,29/04/2010,GO080A,Gomphonema pumilum,3,79
328,L,1564643,4978,29/04/2010,NA095A,Navicula tripunctata,3,79
329,L,1564643,4978,29/04/2010,EY017A,Encyonema gracile,2,79
330,L,1564643,4978,29/04/2010,NI052A,Nitzschia heufleriana,1,79
331,L,1564643,4978,29/04/2010,NI005A,Nitzschia perminuta,2,79
332,L,1571876,203476,19/05/2010,DT010A,Diatoma ehrenbergii,22,54
333,L,1571876,203476,19/05/2010,ZZZ835,Achnanthidium minutissimum type,120,54
334,L,1571876,203476,19/05/2010,GO001A,Gomphonema olivaceum,1,54
335,L,1571876,203476,19/05/2010,AC083A,Achnanthes laevis,11,54
336,L,1571876,203476,19/05/2010,EY011A,Encyonema minutum,3,54
337,L,1571876,203476,19/05/2010,GO050A,Gomphonema minutum,12,54
338,L,1571876,203476,19/05/2010,CM004A,Cymbella microcephala,10,54
339,L,1571876,203476,19/05/2010,BR006A,Brachysira brebissonii,1,54
340,L,1571876,203476,19/05/2010,AC022A,Achnanthes marginulata,6,54
341,L,1571876,203476,19/05/2010,CM113A,Cymbella reichardtii,6,54
342,L,1571876,203476,19/05/2010,FR007A,Fragilaria vaucheriae,10,54
343,L,1571876,203476,19/05/2010,BR010A,Brachysira neoexilis,2,54
344,L,1571876,203476,19/05/2010,GO066A,Gomphonema tergestinum,1,54
345,L,1571876,203476,19/05/2010,NI009A,Nitzschia palea,1,54
346,L,1571876,203476,19/05/2010,DT003A,Diatoma vulgare,5,54
347,L,1571876,203476,19/05/2010,FR082A,Fragilaria incognita,60,54
348,L,1571876,203476,19/05/2010,TA001A,Tabellaria flocculosa,5,54
349,L,1571876,203476,19/05/2010,AS001A,Asterionella formosa,1,54
350,L,1571876,203476,19/05/2010,FR009A,Fragilaria capucina,1,54
351,L,1571876,203476,19/05/2010,DT004A,Diatoma tenue,5,54
352,L,1571876,203476,19/05/2010,AC167A,Achnanthes daonensis,4,54
353,L,1571876,203476,19/05/2010,ZZZ949,Psammothidium subatomoides,4,54
354,L,1571876,203476,19/05/2010,GO052A,Gomphonema olivaceoides,1,54
355,L,1571876,203476,19/05/2010,NI015A,Nitzschia dissipata,5,54
356,L,1571876,203476,19/05/2010,DT022A,Diatoma moniliformis,5,54
357,L,1571876,203476,19/05/2010,SY013A,Synedra tenera,15,54
358,L,1571876,203476,19/05/2010,FR009A,Fragilaria capucina,11,54
359,L,1571876,203476,19/05/2010,CM070A,Cymbella caespitosa,1,54
360,L,1571904,233781,18/05/2010,AC023A,Achnanthes conspicua,4,115
361,L,1571904,233781,18/05/2010,NI015A,Nitzschia dissipata,8,115
362,L,1571904,233781,18/05/2010,NI002A,Nitzschia fonticola,6,115
363,L,1571904,233781,18/05/2010,AC9999,Achnanthes sp.,3,115
364,L,1571904,233781,18/05/2010,EU9999,Eunotia sp.,1,115
365,L,1571904,233781,18/05/2010,NI008A,Nitzschia frustulum,8,115
366,L,1571904,233781,18/05/2010,EY015A,Encyonema reichardtii,11,115
367,L,1571904,233781,18/05/2010,ZZZ835,Achnanthidium minutissimum type,69,115
